repo,commit,tool,rule_id,severity,file,line,masked_value,fingerprint,verdict,reason
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/tls/localhost.key,1,REDACTED,tests/testdata/tls/localhost.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost.pfx,0,REDACTED,tests/testdata/tls/localhost.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/tls/localhost_ecc.key,1,REDACTED,tests/testdata/tls/localhost_ecc.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_modern.pfx,0,REDACTED,tests/testdata/tls/localhost_modern.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_modern_chain.pfx,0,REDACTED,tests/testdata/tls/localhost_modern_chain.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_modern_nomac.pfx,0,REDACTED,tests/testdata/tls/localhost_modern_nomac.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_sha1.pfx,0,REDACTED,tests/testdata/tls/localhost_sha1.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_sha256.pfx,0,REDACTED,tests/testdata/tls/localhost_sha256.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_sha384.pfx,0,REDACTED,tests/testdata/tls/localhost_sha384.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,pkcs12-file,,tests/testdata/tls/localhost_sha512.pfx,0,REDACTED,tests/testdata/tls/localhost_sha512.pfx:pkcs12-file:0,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/tls/self-signed-hostname.key,1,REDACTED,tests/testdata/tls/self-signed-hostname.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/webcrypto/id_rsaEncryption.pem,1,REDACTED,tests/testdata/webcrypto/id_rsaEncryption.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/webcrypto/id_rsassaPss.pem,1,REDACTED,tests/testdata/webcrypto/id_rsassaPss.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/webcrypto/id_rsassaPss_default.pem,1,REDACTED,tests/testdata/webcrypto/id_rsassaPss_default.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/webcrypto/id_rsassaPss_saltLen_30.pem,1,REDACTED,tests/testdata/webcrypto/id_rsassaPss_saltLen_30.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,837,REDACTED,tests/unit/http_test.ts:generic-api-key:837,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,856,REDACTED,tests/unit/http_test.ts:generic-api-key:856,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,868,REDACTED,tests/unit/http_test.ts:generic-api-key:868,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,880,REDACTED,tests/unit/http_test.ts:generic-api-key:880,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,894,REDACTED,tests/unit/http_test.ts:generic-api-key:894,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/http_test.ts,910,REDACTED,tests/unit/http_test.ts:generic-api-key:910,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/serve_test.ts,2028,REDACTED,tests/unit/serve_test.ts:generic-api-key:2028,FP,literal placeholder
deno,83bb8d578050,gitleaks,private-key,,tests/unit/webcrypto_test.ts,448,REDACTED,tests/unit/webcrypto_test.ts:private-key:448,FP,"pem marker string, no key material"
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/webcrypto_test.ts,2586,REDACTED,tests/unit/webcrypto_test.ts:generic-api-key:2586,FP,algorithm name
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/webcrypto_test.ts,4224,REDACTED,tests/unit/webcrypto_test.ts:generic-api-key:4224,FP,algorithm name
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/webcrypto_test.ts,4261,REDACTED,tests/unit/webcrypto_test.ts:generic-api-key:4261,FP,algorithm name
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/webcrypto_test.ts,4262,REDACTED,tests/unit/webcrypto_test.ts:generic-api-key:4262,FP,algorithm name
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/websocket_test.ts,868,REDACTED,tests/unit/websocket_test.ts:generic-api-key:868,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit/websocket_test.ts,1262,REDACTED,tests/unit/websocket_test.ts:generic-api-key:1262,FP,literal placeholder
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,334,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:334,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,530,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:530,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,696,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:696,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,794,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:794,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,870,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:870,FP,"pem marker string, no key material"
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,870,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:870,FP,"pem marker string, no key material"
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,1204,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:1204,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_key_test.ts,1511,REDACTED,tests/unit_node/crypto/crypto_key_test.ts:private-key:1511,FP,"pem marker string, no key material"
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/crypto_sign_test.ts,143,REDACTED,tests/unit_node/crypto/crypto_sign_test.ts:private-key:143,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/ec_private_secp256r1.pem,1,REDACTED,tests/unit_node/crypto/ec_private_secp256r1.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_2048_32_nohash.pkcs8.pem,1,REDACTED,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_2048_32_nohash.pkcs8.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_2048_nosalt_nohash.pkcs8.pem,1,REDACTED,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_2048_nosalt_nohash.pkcs8.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_3072_nosalt_nohash.pkcs8.pem,1,REDACTED,tests/unit_node/crypto/testdata/asymmetric/rsa-pss_3072_nosalt_nohash.pkcs8.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/testdata/asymmetric/rsa_2048.pkcs8.pem,1,REDACTED,tests/unit_node/crypto/testdata/asymmetric/rsa_2048.pkcs8.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/crypto/testdata/asymmetric/rsa_3072.pkcs8.pem,1,REDACTED,tests/unit_node/crypto/testdata/asymmetric/rsa_3072.pkcs8.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit_node/http_test.ts,2160,REDACTED,tests/unit_node/http_test.ts:generic-api-key:2160,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit_node/http_test.ts,3648,REDACTED,tests/unit_node/http_test.ts:generic-api-key:3648,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/unit_node/http_upgrade_create_connection_test.ts,57,REDACTED,tests/unit_node/http_upgrade_create_connection_test.ts:generic-api-key:57,FP,literal placeholder
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/testdata/rsa_private.pem,1,REDACTED,tests/unit_node/testdata/rsa_private.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/unit_node/testdata/rsa_private_pkcs1.pem,1,REDACTED,tests/unit_node/testdata/rsa_private_pkcs1.pem:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,generic-api-key,,tests/util/server/servers/mod.rs,488,REDACTED,tests/util/server/servers/mod.rs:generic-api-key:488,FP,protocol example nonce
deno,83bb8d578050,gitleaks,private-key,,tests/wpt/runner/certs/cacert.key,1,REDACTED,tests/wpt/runner/certs/cacert.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/wpt/runner/certs/web-platform.test.key,1,REDACTED,tests/wpt/runner/certs/web-platform.test.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1258,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:3ea0ba17eface1ba,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1261,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:28cb47f7feee0b1c,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1263,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:a2447fa8b89c2604,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1265,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:91e5929b81fe3d8f,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1268,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:abbc1db20cf11c0d,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1270,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:94c57b2f0a4313ab,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1272,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:8c63eb3c0122352e,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1275,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:1ba054d65921bfc4,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1277,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:27a1d9bf3e194396,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1279,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:4177f6d52ac5924f,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1282,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:485dec7e697e246a,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1284,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:89d574bfb5c1acc9,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1286,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:3afd7cf7e66c463e,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1289,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:7a988f9a1216d558,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1291,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:1b5110a508396165,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1293,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:38d6224d79d0be60,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1296,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:3b121fe443bc528c,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,.github/workflows/ci.ts,1298,targ********************6sum,.github/workflows/ci.ts:generic-high-entropy:9f5b1c01356a1790,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/cache/cache_db.rs,778,5.10********************WSL2,cli/cache/cache_db.rs:generic-high-entropy:2b7dbb62927997ea,FP,version string
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/cache/cache_db.rs,781,5.15********************SL2+,cli/cache/cache_db.rs:generic-high-entropy:2268c1d5e3609dc8,FP,version string
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tools/desktop.rs,2410,resu********************view,cli/tools/desktop.rs:generic-high-entropy:c05b5c7db5564078,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tools/desktop.rs,2413,resu********************view,cli/tools/desktop.rs:generic-high-entropy:d785fd90994474d9,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tools/upgrade.rs,3450,DENO********************ize_,cli/tools/upgrade.rs:generic-high-entropy:3b10905130911acf,FP,literal placeholder
deno,83bb8d578050,secretloop,http-basic-auth-url,critical,cli/tsc/dts/lib.deno_url.d.ts,354,so**********,cli/tsc/dts/lib.deno_url.d.ts:http-basic-auth-url:eb865446471387ac,FP,documentation example
deno,83bb8d578050,secretloop,http-basic-auth-url,critical,cli/tsc/dts/lib.deno_url.d.ts,470,so**********,cli/tsc/dts/lib.deno_url.d.ts:http-basic-auth-url:3e21cc750de1e466,FP,documentation example
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/crypto.d.cts,2980,ED25********************ions,cli/tsc/dts/node/crypto.d.cts:generic-high-entropy:fa6dfcb1516ad835,FP,long identifier or type name
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,425,pL1+********************GrU=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:64277239b5a9437a,FP,documentation example
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,492,WoiW********************B18=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:ddbaecfc7a1186f0,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,492,RRM1********************+ho=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:2b768ca6cdffb982,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,493,k2v6********************Qws=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:bba29cebb34b9f8a,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,493,K87o********************G2Q=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:6ec25595375432c4,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,493,IQBn********************7v4=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:076a1f96e215f435,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,494,iie1********************uj0=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:c8a680ed0bed1dbd,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,cli/tsc/dts/node/https.d.cts,494,LvRi********************x7A=,cli/tsc/dts/node/https.d.cts:generic-high-entropy:2fc2f3e4f0519c54,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,227,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:592866ead30ffd74,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,229,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:5aa97f4a943fa533,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,232,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:f6842efc5e2c2e4d,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,237,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:e7110b699c463d63,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,242,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:ab666310c946fc59,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,244,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:03c8eeee35af7be3,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,246,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:4d4d6433141bbbdc,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,ext/http/compressible.rs,507,appl********************+xml,ext/http/compressible.rs:generic-high-entropy:c0b8e09b536fe27b,FP,mime type
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/cache_dir/global/mod.rs,223,http********************bbc8,libs/cache_dir/global/mod.rs:generic-high-entropy:b8a0388ef2dc71b2,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/cache_dir/global/mod.rs,227,http********************bbc8,libs/cache_dir/global/mod.rs:generic-high-entropy:baf0c791da33c91e,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/cache_dir/global/mod.rs,231,http********************a0f1,libs/cache_dir/global/mod.rs:generic-high-entropy:f00e13d6ca94e346,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/core/modules/tests.rs,2850,eyJ2********************In0=,libs/core/modules/tests.rs:generic-high-entropy:a834b1c2d976a233,FP,"encoded data, not a credential"
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/core/modules/tests.rs,3019,eyJ2********************QSJ9,libs/core/modules/tests.rs:generic-high-entropy:53b1403b5e8e873d,FP,long identifier or type name
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/core/modules/tests.rs,3072,eyJ2********************In0=,libs/core/modules/tests.rs:generic-high-entropy:d333a9114e4d83b9,FP,"encoded data, not a credential"
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/crypto/spki.rs,182,MIIC********************Ekc=,libs/crypto/spki.rs:generic-high-entropy:dde28de3df701360,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/crypto/spki.rs,189,MIIC********************GsM=,libs/crypto/spki.rs:generic-high-entropy:0efc33b5f1ed9110,FP,public key material
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/npm_cache/tarball_extract.rs,495,z4Ph********************Pg==,libs/npm_cache/tarball_extract.rs:generic-high-entropy:a2d83046e692cc5f,FP,digest or checksum
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/resolver/cache/disk_cache.rs,172,http********************15cf,libs/resolver/cache/disk_cache.rs:generic-high-entropy:6435ac59464689c9,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,libs/resolver/cache/disk_cache.rs,176,http********************15cf,libs/resolver/cache/disk_cache.rs:generic-high-entropy:1d7d6316774242f8,FP,path or resource identifier
deno,83bb8d578050,secretloop,generic-high-entropy,medium,runtime/Cargo.toml,103,Win3********************ouse,runtime/Cargo.toml:generic-high-entropy:830a513c79080003,FP,long identifier or type name
deno,83bb8d578050,secretloop,generic-high-entropy,medium,runtime/permissions/Cargo.toml,41,Win3********************ouse,runtime/permissions/Cargo.toml:generic-high-entropy:830a513c79080003,FP,long identifier or type name
deno,83bb8d578050,secretloop,generic-api-key-assignment,high,tests/specs/audit/package_json_only/__test__.jsonc,23,test**********2345,tests/specs/audit/package_json_only/__test__.jsonc:generic-api-key-assignment:2688f4e126ca5efd,FP,literal placeholder
deno,83bb8d578050,secretloop,private-key-block,critical,tests/specs/node/tls_happy_eyeballs/localhost.key,1,----********************----,tests/specs/node/tls_happy_eyeballs/localhost.key:private-key-block:6b56c73a3cd194b5,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,private-key-block,critical,tests/specs/npm/npmrc_certfile/client.key,1,----********************----,tests/specs/npm/npmrc_certfile/client.key:private-key-block:6b56c73a3cd194b5,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,private-key-block,critical,tests/specs/run/tls_connecttls/localhost.key,1,----********************----,tests/specs/run/tls_connecttls/localhost.key:private-key-block:6b56c73a3cd194b5,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,private-key-block,critical,tests/specs/run/tls_starttls/localhost.key,1,----********************----,tests/specs/run/tls_starttls/localhost.key:private-key-block:6b56c73a3cd194b5,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,onepassword-service-account,critical,tests/specs/test/ops_sanitizer_multiple_timeout_tests_no_trace/__test__.jsonc,4,ops_********************race,tests/specs/test/ops_sanitizer_multiple_timeout_tests_no_trace/__test__.jsonc:onepassword-service-account:ca16f76771efb338,FP,rule misfire on a filename
deno,83bb8d578050,secretloop,private-key-block,critical,tests/testdata/tls/RootCA.key,1,----********************----,tests/testdata/tls/RootCA.key:private-key-block:ab8a1c88383bb9b9,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,private-key-block,critical,tests/testdata/tls/localhost.key,1,----********************----,tests/testdata/tls/localhost.key:private-key-block:6b56c73a3cd194b5,TP,private key material (test fixture)
deno,83bb8d578050,secretloop,private-key-block,critical,tests/testdata/tls/localhost_ecc.key,1,----********************----,tests/testdata/tls/localhost_ecc.key:private-key-block:ef105738f5edd994,TP,private key material (test fixture)
